timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
1 1246 1255 0.0021510260277453445 1.9978489739722547
1 1246 1310 1.1449349715768498 0.8550650284231502
1 1246 1343 1.9761135772251615 0.023886422774838545
1 1247 1290 1.7229694629020285 0.27703053709797154
1 1247 1292 1.813481067154473 0.186518932845527
1 1249 1317 1.574132762868059 0.42586723713194097
1 1249 1322 1.7586527675870025 0.2413472324129975
1 1249 1326 0.0 2.0
1 1254 1282 1.8557653646363494 0.14423463536365055
1 1255 1310 1.1470854407089823 0.8529145592910177
1 1255 1343 1.973999930491685 0.026000069508314905
1 1263 1331 0.0 2.0
1 1263 1339 0.0 2.0
1 1265 1314 0.0 2.0
1 1267 1271 1.5725280449106396 0.4274719550893604
1 1267 1273 1.9392537175110718 0.060746282488928216
1 1271 1273 0.4959537992190187 1.5040462007809814
1 1274 1316 1.3050120270715764 0.6949879729284236
1 1274 1317 1.199923569556959 0.800076430443041
1 1277 1290 1.370632275176051 0.6293677248239491
1 1277 1291 0.5922759574111851 1.407724042588815
1 1278 1290 1.3841887857362312 0.6158112142637688
1 1283 1308 0.0 2.0
1 1285 1329 0.0 2.0
1 1289 1321 1.2581426976819676 0.7418573023180324
1 1290 1291 1.954380106725329 0.045619893274670975
1 1294 1300 0.0 2.0
1 1294 1320 1.2286758347005435 0.7713241652994565
1 1300 1320 1.2286758347005435 0.7713241652994565
1 1317 1322 0.8396967213966114 1.1603032786033887
1 1317 1326 1.574132762868059 0.42586723713194097
1 1322 1326 1.7586527675870025 0.2413472324129975
1 1331 1339 0.0 2.0
2 1246 1255 0.0021510260277453445 1.9978489739722547
2 1246 1310 1.1449349715768498 0.8550650284231502
2 1246 1343 1.9761135772251615 0.023886422774838545
2 1247 1290 1.7229694629020285 0.27703053709797154
2 1247 1292 1.813481067154473 0.186518932845527
2 1249 1317 1.574132762868059 0.42586723713194097
2 1249 1322 1.7586527675870025 0.2413472324129975
2 1249 1326 0.0 2.0
2 1254 1282 1.8557653646363494 0.14423463536365055
2 1255 1310 1.1470854407089823 0.8529145592910177
2 1255 1343 1.973999930491685 0.026000069508314905
2 1263 1331 0.0 2.0
2 1263 1339 0.0 2.0
2 1265 1314 0.0 2.0
2 1267 1271 1.5725280449106396 0.4274719550893604
2 1267 1273 1.9392537175110718 0.060746282488928216
2 1271 1273 0.4959537992190187 1.5040462007809814
2 1274 1316 1.3050120270715764 0.6949879729284236
2 1274 1317 1.199923569556959 0.800076430443041
2 1277 1290 1.370632275176051 0.6293677248239491
2 1277 1291 0.5922759574111851 1.407724042588815
2 1278 1290 1.3841887857362312 0.6158112142637688
2 1283 1308 0.0 2.0
2 1285 1329 0.0 2.0
2 1289 1321 1.2581426976819676 0.7418573023180324
2 1290 1291 1.954380106725329 0.045619893274670975
2 1294 1300 0.0 2.0
2 1294 1320 1.2286758347005435 0.7713241652994565
2 1300 1320 1.2286758347005435 0.7713241652994565
2 1317 1322 0.8396967213966114 1.1603032786033887
2 1317 1326 1.574132762868059 0.42586723713194097
2 1322 1326 1.7586527675870025 0.2413472324129975
2 1331 1339 0.0 2.0
3 1246 1255 1.4920938765183758 0.5079061234816242
3 1246 1343 1.9467795737644078 0.0532204262355922
3 1247 1290 1.9625500592343186 0.03744994076568142
3 1249 1326 1.1465135079699469 0.8534864920300531
3 1253 1319 1.9765483166967246 0.023451683303275406
3 1263 1331 1.5068887362446726 0.49311126375532743
3 1263 1339 1.5081703180255999 0.49182968197440013
3 1265 1314 1.6198301152870647 0.38016988471293534
3 1267 1271 1.941293504896979 0.05870649510302095
3 1271 1273 1.9105654484094596 0.08943455159054037
3 1273 1336 1.9825482332968414 0.017451766703158622
3 1274 1317 1.9231203151473495 0.07687968485265051
